Source,Target,Weight
224,81,3
224,1578,3
224,2006,3
224,1715,3
224,104,3
224,2008,3
1152,81,3
1152,1578,3
1152,2006,3
1152,1715,3
1152,104,3
1152,2008,3
435,81,3
435,1578,3
435,2006,3
435,1715,3
435,104,3
435,2008,3
535,81,3
535,1578,3
535,2006,3
535,1715,3
535,104,3
535,2008,3
59,81,3
59,1578,3
59,2006,3
59,1715,3
59,104,3
59,2008,3
2014,81,3
2014,1578,3
2014,2006,3
2014,1715,3
2014,104,3
2014,2008,3
319,1656,3
319,1552,3
319,783,3
319,1268,3
1584,1656,3
1584,1552,3
1584,783,3
1584,1268,3
1223,1656,3
1223,1552,3
1223,783,3
1223,1268,3
1454,1656,3
1454,1552,3
1454,783,3
1454,1268,3
2038,1656,3
2038,1552,3
2038,783,3
2038,1268,3
2039,1656,3
2039,1552,3
2039,783,3
2039,1268,3
1227,1740,3
1227,1011,3
1227,2100,3
1227,2101,3
1227,2102,3
480,1740,3
480,1011,3
480,2100,3
480,2101,3
480,2102,3
252,1740,3
252,1011,3
252,2100,3
252,2101,3
252,2102,3
387,1740,3
387,1011,3
387,2100,3
387,2101,3
387,2102,3
1220,1740,3
1220,1011,3
1220,2100,3
1220,2101,3
1220,2102,3
2099,1740,3
2099,1011,3
2099,2100,3
2099,2101,3
2099,2102,3
1172,618,3
1172,1897,3
619,618,3
619,1897,3
1666,618,3
1666,1897,3
69,618,3
69,1897,3
1317,618,3
1317,1897,3
181,618,3
181,1897,3
2396,618,3
2396,1897,3
618,408,3
618,553,3
618,902,3
618,1688,3
2441,2442,3
2441,1018,3
2441,1276,3
2441,1995,3
2441,2029,3
2441,2030,3
2443,2442,3
2443,1018,3
2443,1276,3
2443,1995,3
2443,2029,3
2443,2030,3
2445,2442,3
2445,1018,3
2445,1276,3
2445,1995,3
2445,2029,3
2445,2030,3
1950,2442,3
1950,1018,3
1950,1276,3
1950,1995,3
1950,2029,3
1950,2030,3
1680,81,2
1680,1578,2
1680,2006,2
1680,1715,2
1680,104,2
1680,2008,2
1446,81,2
1446,1578,2
1446,2006,2
1446,1715,2
1446,104,2
1446,2008,2
1988,81,2
1988,1578,2
1988,2006,2
1988,1715,2
1988,104,2
1988,2008,2
266,81,2
266,1578,2
266,2006,2
266,1715,2
266,104,2
266,2008,2
1076,81,2
1076,1578,2
1076,2006,2
1076,1715,2
1076,104,2
1076,2008,2
607,138,2
607,176,2
607,432,2
607,1981,2
607,369,2
607,2016,2
1854,138,2
1854,176,2
1854,432,2
1854,1981,2
1854,369,2
1854,2016,2
357,138,2
357,176,2
357,432,2
357,1981,2
357,369,2
357,2016,2
1944,138,2
1944,176,2
1944,432,2
1944,1981,2
1944,369,2
1944,2016,2
1088,138,2
1088,176,2
1088,432,2
1088,1981,2
1088,369,2
1088,2016,2
2013,138,2
2013,176,2
2013,432,2
2013,1981,2
2013,369,2
2013,2016,2
1326,607,2
1326,1854,2
1326,357,2
1326,1944,2
1326,1088,2
1326,2013,2
1530,607,2
1530,1854,2
1530,357,2
1530,1944,2
1530,1088,2
1530,2013,2
1528,607,2
1528,1854,2
1528,357,2
1528,1944,2
1528,1088,2
1528,2013,2
116,607,2
116,1854,2
116,357,2
116,1944,2
116,1088,2
116,2013,2
1009,607,2
1009,1854,2
1009,357,2
1009,1944,2
1009,1088,2
1009,2013,2
2009,607,2
2009,1854,2
2009,357,2
2009,1944,2
2009,1088,2
2009,2013,2
138,607,2
138,1854,2
138,357,2
138,1944,2
138,1088,2
138,2013,2
176,607,2
176,1854,2
176,357,2
176,1944,2
176,1088,2
176,2013,2
432,607,2
432,1854,2
432,357,2
432,1944,2
432,1088,2
432,2013,2
1981,607,2
1981,1854,2
1981,357,2
1981,1944,2
1981,1088,2
1981,2013,2
369,607,2
369,1854,2
369,357,2
369,1944,2
369,1088,2
369,2013,2
2016,607,2
2016,1854,2
2016,357,2
2016,1944,2
2016,1088,2
2016,2013,2
1003,81,2
1003,1578,2
1003,2006,2
1003,1715,2
1003,104,2
1003,2008,2
1545,81,2
1545,1578,2
1545,2006,2
1545,1715,2
1545,104,2
1545,2008,2
939,81,2
939,1578,2
939,2006,2
939,1715,2
939,104,2
939,2008,2
1518,81,2
1518,1578,2
1518,2006,2
1518,1715,2
1518,104,2
1518,2008,2
1794,81,2
1794,1578,2
1794,2006,2
1794,1715,2
1794,104,2
1794,2008,2
2018,81,2
2018,1578,2
2018,2006,2
2018,1715,2
2018,104,2
2018,2008,2
2019,81,2
2019,1578,2
2019,2006,2
2019,1715,2
2019,104,2
2019,2008,2
1577,433,2
1577,1593,2
1577,1541,2
1577,2023,2
1504,318,2
1884,318,2
906,318,2
2025,318,2
696,670,2
696,1799,2
696,174,2
696,516,2
696,544,2
696,2028,2
696,1352,2
1018,670,2
1018,1799,2
1018,174,2
1018,516,2
1018,544,2
1018,2028,2
1018,1352,2
311,670,2
311,1799,2
311,174,2
311,516,2
311,544,2
311,2028,2
311,1352,2
1276,670,2
1276,1799,2
1276,174,2
1276,516,2
1276,544,2
1276,2028,2
1276,1352,2
1995,670,2
1995,1799,2
1995,174,2
1995,516,2
1995,544,2
1995,2028,2
1995,1352,2
2029,670,2
2029,1799,2
2029,174,2
2029,516,2
2029,544,2
2029,2028,2
2029,1352,2
2030,670,2
2030,1799,2
2030,174,2
2030,516,2
2030,544,2
2030,2028,2
2030,1352,2
670,310,2
670,799,2
670,1183,2
670,1213,2
670,1901,2
670,2031,2
1799,310,2
1799,799,2
1799,1183,2
1799,1213,2
1799,1901,2
1799,2031,2
174,310,2
