,age,matches,tournaments,wins,losses,winrate
1,25,176,25,112,64,0.6363636363636364
2,23,31,10,12,19,0.3870967741935484
3,18,352,56,174,178,0.4943181818181818
10,25,118,16,70,48,0.5932203389830508
11,23,287,43,161,126,0.5609756097560976
13,23,54,8,32,22,0.5925925925925926
16,24,199,24,126,73,0.6331658291457286
17,21,361,49,214,147,0.592797783933518
18,23,118,39,61,57,0.5169491525423728
21,26,161,39,92,69,0.5714285714285714
22,25,141,30,81,60,0.574468085106383
25,24,111,26,53,58,0.4774774774774775
28,24,243,29,165,78,0.6790123456790124
29,26,109,19,61,48,0.5596330275229358
30,29,316,56,168,148,0.5316455696202531
31,21,34,8,15,19,0.4411764705882353
33,21,187,27,111,76,0.5935828877005348
37,27,205,25,111,94,0.5414634146341464
40,30,101,15,51,50,0.504950495049505
41,26,12,5,6,6,0.5
43,21,249,43,162,87,0.6506024096385542
44,21,76,12,43,33,0.5657894736842105
47,20,158,40,90,68,0.569620253164557
49,19,201,37,115,86,0.572139303482587
51,20,250,37,153,97,0.612
52,21,127,27,60,67,0.47244094488188976
54,23,13,2,11,2,0.8461538461538461
56,20,142,31,99,43,0.6971830985915493
57,27,212,56,135,77,0.6367924528301887
59,17,161,20,103,58,0.639751552795031
63,20,166,41,85,81,0.5120481927710844
65,23,178,25,115,63,0.6460674157303371
67,22,95,18,40,55,0.42105263157894735
68,20,194,28,102,92,0.5257731958762887
79,28,227,35,136,91,0.5991189427312775
92,20,94,21,45,49,0.4787234042553192
95,26,597,67,412,185,0.6901172529313233
97,18,117,19,64,53,0.5470085470085471
98,26,180,29,103,77,0.5722222222222222
99,19,295,47,159,136,0.5389830508474577
100,23,273,35,161,112,0.5897435897435898
102,23,239,38,152,87,0.6359832635983264
103,26,263,50,143,120,0.5437262357414449
106,25,112,25,68,44,0.6071428571428571
107,23,115,25,59,56,0.5130434782608696
108,22,296,48,201,95,0.6790540540540541
111,27,125,22,64,61,0.512
112,22,141,22,77,64,0.5460992907801419
114,25,268,54,178,90,0.664179104477612
116,19,171,27,122,49,0.7134502923976608
117,25,110,22,52,58,0.4727272727272727
119,24,134,20,87,47,0.6492537313432836
121,21,36,7,21,15,0.5833333333333334
122,19,350,46,200,150,0.5714285714285714
123,21,164,21,81,83,0.49390243902439024
126,24,349,30,220,129,0.6303724928366762
127,23,14,6,6,8,0.42857142857142855
128,26,45,8,26,19,0.5777777777777777
130,20,186,21,140,46,0.7526881720430108
131,18,230,22,172,58,0.7478260869565218
132,23,249,38,160,89,0.642570281124498
135,25,169,24,106,63,0.6272189349112426
136,21,294,54,137,157,0.46598639455782315
137,21,261,51,141,120,0.5402298850574713
138,26,319,46,184,135,0.5768025078369906
140,31,124,18,83,41,0.6693548387096774
141,18,20,5,10,10,0.5
142,25,190,31,112,78,0.5894736842105263
146,25,244,42,135,109,0.5532786885245902
147,22,232,48,131,101,0.5646551724137931
148,20,291,55,154,137,0.5292096219931272
151,27,234,29,130,104,0.5555555555555556
155,21,163,29,94,69,0.5766871165644172
158,26,545,72,297,248,0.544954128440367
161,22,286,46,162,124,0.5664335664335665
162,21,171,33,103,68,0.6023391812865497
163,18,256,38,149,107,0.58203125
164,21,107,12,54,53,0.5046728971962616
167,26,160,27,118,42,0.7375
169,20,101,23,62,39,0.6138613861386139
170,19,118,36,69,49,0.5847457627118644
173,22,115,25,61,54,0.5304347826086957
174,23,217,29,131,86,0.6036866359447005
177,20,253,34,130,123,0.5138339920948617
179,18,188,41,90,98,0.4787234042553192
180,27,180,24,115,65,0.6388888888888888
184,22,94,14,47,47,0.5
186,25,272,25,196,76,0.7205882352941176
188,23,123,26,58,65,0.4715447154471545
189,25,130,22,69,61,0.5307692307692308
191,18,190,25,110,80,0.5789473684210527
193,21,121,22,65,56,0.5371900826446281
195,25,144,28,85,59,0.5902777777777778
202,19,63,5,37,26,0.5873015873015873
204,30,128,34,81,47,0.6328125
206,21,363,63,199,164,0.5482093663911846
209,25,89,17,51,38,0.5730337078651685
213,26,304,31,196,108,0.6447368421052632
214,30,201,46,117,84,0.582089552238806
215,26,46,14,23,23,0.5
217,25,52,17,25,27,0.4807692307692308
220,26,54,11,29,25,0.5370370370370371
221,21,182,21,102,80,0.5604395604395604
223,22,128,21,70,58,0.546875
224,27,295,43,179,116,0.6067796610169491
227,24,206,28,140,66,0.6796116504854369
229,23,212,47,100,112,0.4716981132075472
230,27,283,42,169,114,0.5971731448763251
231,24,247,56,143,104,0.5789473684210527
233,28,139,24,69,70,0.49640287769784175
234,21,288,46,143,145,0.4965277777777778
235,26,284,32,183,101,0.6443661971830986
236,23,228,32,139,89,0.6096491228070176
239,23,270,43,159,111,0.5888888888888889
241,25,168,28,84,84,0.5
242,19,122,21,68,54,0.5573770491803278
243,19,156,25,88,68,0.5641025641025641
244,27,141,27,79,62,0.5602836879432624
245,22,323,54,191,132,0.5913312693498453
246,26,110,23,62,48,0.5636363636363636
248,24,165,44,90,75,0.5454545454545454
252,22,268,35,218,50,0.8134328358208955
253,19,99,17,59,40,0.5959595959595959
257,18,79,10,47,32,0.5949367088607594
259,23,273,50,143,130,0.5238095238095238
260,20,114,22,56,58,0.49122807017543857
261,24,100,14,61,39,0.61
263,18,120,22,57,63,0.475
266,19,249,27,185,64,0.7429718875502008
268,25,249,48,144,105,0.5783132530120482
270,22,231,33,135,96,0.5844155844155844
271,23,89,19,51,38,0.5730337078651685
273,28,273,39,164,109,0.6007326007326007
274,21,114,24,65,49,0.5701754385964912
275,21,258,56,137,121,0.5310077519379846
276,25,157,17,111,46,0.7070063694267515
280,24,22,5,11,11,0.5
281,19,152,23,88,64,0.5789473684210527
282,31,191,59,115,76,0.6020942408376964
284,21,82,18,57,25,0.6951219512195121
285,21,165,29,94,71,0.5696969696969697
286,27,79,15,40,39,0.5063291139240507
293,27,159,24,96,63,0.6037735849056604
297,33,50,7,29,21,0.58
300,20,256,36,164,92,0.640625
302,19,250,41,157,93,0.628
306,17,119,20,70,49,0.5882352941176471
308,22,138,24,86,52,0.6231884057971014
310,24,139,15,76,63,0.5467625899280576
311,18,142,10,101,41,0.7112676056338029
312,21,237,36,139,98,0.5864978902953587
313,24,251,42,149,102,0.5936254980079682
315,20,104,19,62,42,0.5961538461538461
319,20,250,35,178,72,0.712
321,25,9,4,4,5,0.4444444444444444
324,23,120,21,62,58,0.5166666666666667
326,27,159,31,95,64,0.5974842767295597
329,19,32,6,18,14,0.5625
333,23,91,16,45,46,0.4945054945054945
334,27,133,16,87,46,0.6541353383458647
335,19,209,33,115,94,0.5502392344497608
337,20,114,24,66,48,0.5789473684210527
338,20,289,50,194,95,0.671280276816609
340,22,282,49,180,102,0.6382978723404256
346,19,90,28,34,56,0.37777777777777777
348,28,157,24,106,51,0.6751592356687898
350,23,278,40,157,121,0.564748201438849
351,23,144,32,62,82,0.4305555555555556
356,26,159,41,84,75,0.5283018867924528
357,24,345,34,216,129,0.6260869565217392
358,23,168,31,99,69,0.5892857142857143
359,22,230,42,139,91,0.6043478260869565
360,22,4,2,3,1,0.75
361,26,129,19,88,41,0.6821705426356589
362,25,203,40,110,93,0.541871921182266
363,19,420,75,253,167,0.6023809523809524
364,22,370,60,178,192,0.4810810810810811
365,24,238,33,164,74,0.6890756302521008
367,25,284,30,192,92,0.676056338028169
369,19,261,39,161,100,0.6168582375478927
373,20,181,35,102,79,0.56353591160221
375,25,166,31,100,66,0.6024096385542169
376,20,375,27,252,123,0.672
377,21,90,16,45,45,0.5
378,22,188,24,119,69,0.6329787234042553
381,21,260,45,181,79,0.6961538461538461
382,24,285,27,203,82,0.712280701754386
383,20,57,14,25,32,0.43859649122807015
385,28,13,3,13,0,1.0
386,19,154,19,88,66,0.5714285714285714
387,18,270,38,216,54,0.8
389,19,66,17,34,32,0.5151515151515151
391,20,173,27,106,67,0.6127167630057804
392,23,344,32,235,109,0.6831395348837209
393,29,114,17,65,49,0.5701754385964912
394,17,71,18,33,38,0.4647887323943662
395,30,43,11,23,20,0.5348837209302325
396,20,128,19,81,47,0.6328125
401,22,183,27,129,54,0.7049180327868853
402,18,96,20,53,43,0.5520833333333334
403,28,266,42,185,81,0.6954887218045113
407,33,67,12,37,30,0.5522388059701493
409,26,187,29,84,103,0.44919786096256686
410,24,311,52,191,120,0.6141479099678456
411,27,64,12,41,23,0.640625
412,21,169,27,77,92,0.4556213017751479
413,19,265,42,156,109,0.5886792452830188
414,24,528,56,351,177,0.6647727272727273
